id;nome (it);nome (en);emoji;raro;Altezza (alt);Forza (frz);Velocita (vel);Agilita (agi);Presa (man);Fiato (res);Terra (ter);Acqua (acq);Volo (vol);Stazza (mas);Precisione (pre);Equilibrio (equ);Coraggio (cor);Intelligenza (int);Riflessi (rif);gare;Basket 5 contro 5;Beach volley;Calcetto 5 contro 5;Scherma a coppie;Staffetta 4x100;Doppio di tennis;Tiro alla fune;Regata a remi;Tuffi a squadre;Staffetta in acqua;Slalom aereo;Bob a quattro;Ciclismo a squadre;Ginnastica a squadre;Tiro con l'arco;Sollevamento pesi;Judo a coppie;Taekwondo a coppie;Tennistavolo doppio;Marcia lentissima;Salto con gli sci;Slittino a coppie;Pattinaggio artistico;Sci di fondo;Snowboard a squadre;Discesa libera;Slalom speciale
anatra;Anatra;Duck;🦆;;2;2;4;5;2;6;5;9;7;2;5;7;4;5;6;17;✓;✓;;;;;✓;;✓;✓;✓;✓;;✓;;✓;;✓;;✓;✓;✓;✓;;✓;✓;✓
oca;Oca;Goose;🪿;;3;4;4;5;2;7;6;8;7;3;5;7;6;5;6;20;✓;✓;✓;;;;✓;;✓;✓;✓;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
gallo;Gallo;Rooster;🐓;;2;3;5;6;2;4;7;1;3;2;5;6;7;4;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
tacchino;Tacchino;Turkey;🦃;;3;4;4;4;2;4;7;1;3;4;4;5;5;4;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
pavone;Pavone;Peacock;🦚;;3;3;5;6;2;4;7;1;4;2;5;7;5;4;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
pinguino;Pinguino;Penguin;🐧;;2;4;3;4;3;7;4;10;0;3;6;7;6;8;7;4;;;;;;;✓;;✓;✓;;;;;;;;;;✓;;;;;;;
colomba;Colomba;Dove;🕊️;;1;1;7;8;3;6;4;1;9;1;7;9;4;5;7;3;;;;;;;✓;;;;✓;;;;;;;;;✓;;;;;;;
dodo;Dodo;Dodo;🦤;;2;3;2;2;2;3;6;2;0;4;3;3;3;3;3;17;✓;✓;✓;;;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
delfino;Delfino;Dolphin;🐬;;3;7;9;9;1;8;0;10;0;6;9;10;8;10;10;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
balena;Balena;Whale;🐋;;5;10;5;2;0;9;0;10;0;10;5;4;7;8;7;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
capodoglio;Capodoglio;Sperm whale;🐳;;5;10;5;2;0;9;0;10;0;10;5;4;8;8;8;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
squalo;Squalo;Shark;🦈;;3;9;9;6;0;8;0;10;0;8;6;6;8;5;6;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
foca;Foca;Seal;🦭;;2;6;4;6;2;7;3;10;0;6;6;7;6;8;8;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
polpo;Polpo;Octopus;🐙;;2;6;4;9;10;5;2;10;0;3;10;10;6;10;10;3;;;;;;;;✓;✓;✓;;;;;;;;;;;;;;;;;
calamaro;Calamaro;Squid;🦑;;2;4;7;7;8;5;1;10;0;2;8;8;5;7;8;3;;;;;;;;✓;✓;✓;;;;;;;;;;;;;;;;;
granchio;Granchio;Crab;🦀;;1;5;3;5;8;5;5;9;0;2;7;7;6;5;6;22;✓;✓;;✓;;✓;✓;✓;✓;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓
aragosta;Aragosta;Lobster;🦞;;1;5;2;3;8;5;4;9;0;2;6;6;5;4;5;5;;;;;;;✓;✓;✓;✓;;;;;;;;;;✓;;;;;;;
gambero;Gambero;Shrimp;🦐;;1;1;4;5;5;3;2;9;0;1;5;6;3;3;4;3;;;;;;;;✓;✓;✓;;;;;;;;;;;;;;;;;
pescepalla;Pesce palla;Pufferfish;🐡;;1;1;3;4;0;3;0;10;0;2;4;4;5;3;4;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
pescetropicale;Pesce tropicale;Tropical fish;🐠;;1;1;5;6;0;4;0;10;0;1;5;6;4;3;5;2;;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;
tartaruga;Tartaruga;Turtle;🐢;;1;5;1;2;2;8;4;9;0;4;6;4;6;5;5;4;;;;;;;✓;;✓;✓;;;;;;;;;;✓;;;;;;;
rana;Rana;Frog;🐸;;1;3;5;8;5;4;6;8;0;1;7;9;5;4;6;25;✓;✓;✓;✓;;✓;✓;✓;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
ape;Ape;Bee;🐝;;1;1;7;8;3;5;3;1;9;1;7;8;5;5;6;1;;;;;;;;;;;✓;;;;;;;;;;;;;;;;
farfalla;Farfalla;Butterfly;🦋;;1;1;4;6;2;3;3;1;7;1;6;7;3;3;4;1;;;;;;;;;;;✓;;;;;;;;;;;;;;;;
formica;Formica;Ant;🐜;;1;8;4;6;7;8;8;1;0;1;8;7;8;5;7;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
grillo;Grillo;Cricket;🦗;;1;3;6;8;4;4;8;1;4;1;6;8;4;4;5;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
lumaca;Lumaca;Snail;🐌;;1;1;0;1;2;6;5;3;0;1;3;2;2;2;2;15;✓;✓;;;;;✓;;✓;;;✓;;✓;;✓;;✓;;✓;✓;✓;✓;;✓;✓;✓
zanzara;Zanzara;Mosquito;🦟;;1;1;6;7;2;3;2;1;8;1;6;7;3;3;4;1;;;;;;;;;;;✓;;;;;;;;;;;;;;;;
coccinella;Coccinella;Ladybug;🐞;;1;1;3;5;3;3;6;1;6;1;5;6;3;3;4;18;✓;✓;✓;;;;✓;;;;✓;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
scarabeo;Scarabeo;Beetle;🪲;;1;7;3;4;5;5;7;2;4;1;5;6;6;4;5;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
drago;Drago;Dragon;🐉;raro;9;10;9;7;8;9;8;5;10;9;10;10;10;10;10;26;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
trex;T-Rex;T-Rex;🦖;;8;10;7;5;3;6;8;2;0;10;6;4;9;5;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
brontosauro;Brontosauro;Brontosaurus;🦕;;10;10;3;1;1;7;7;4;0;10;4;3;6;4;3;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
leopardo;Leopardo;Leopard;🐆;;4;8;8;9;5;5;8;3;0;7;6;8;7;7;8;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
pantera;Pantera;Panther;🐈‍⬛;;4;7;8;8;5;6;8;4;0;6;7;8;8;8;9;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
iena;Iena;Hyena;🐺;;3;8;8;6;7;9;8;2;0;6;5;6;8;9;6;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
gazzella;Gazzella;Gazelle;🦌;;4;3;9;9;1;6;8;1;0;3;4;8;5;5;9;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
bufalo;Bufalo;Water buffalo;🐃;;6;9;5;2;1;8;7;7;0;10;3;5;8;5;4;20;✓;✓;✓;;✓;;✓;;✓;✓;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
asino;Asino;Donkey;🫏;;4;7;4;3;1;10;9;1;0;7;4;9;6;7;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
